2023년 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,,,
,,,,,,,,,국비,지방비,기타,합계, 내국인(명) ,외국인(명),전담조직명,조직형태,설립근거,,성명,연락처,,
109,부산,해운대구,해운대모래축제,생태자연,5.19.~5.22.,해운대해수욕장 일원 ,대면,2005년도,-,673,-,673,"853,000", - ,부산광역시 해운대구,공공(시군구),부산광역시 해운대구 축제의 육성 및 지원에 관한 조례,,마선경,051-749-4062,,
110,부산,해운대구,해운대 달맞이온천축제,문화예술,2.3.~2.6.,해운대해수욕장 일원 ,취소,1983년도,-,12,미정,12, - , - ,(사)해운대지구발전협의회,사단법인,부산광역시 해운대구 축제의 육성 및 지원에 관한 조례,,마선경,051-749-4062,,
111,부산,해운대구,해운대 해양레저축제,생태자연,9월중,송정해수욕장 일원,대면,2017년도,-,90,-,90,"2,000", - ,부산광역시 해운대구,공공(시군구),부산광역시 해운대구 축제의 육성 및 지원에 관한 조례,,정태영,051-749-5602,,
112,부산,해운대구,해운대 빛축제,문화예술,12월중,해운대해수욕장 일원 ,대면,2014년도,-,-,-,미정,"3,787,000", - ,부산광역시 해운대구,공공(시군구),부산광역시 해운대구 축제의 육성 및 지원에 관한 조례,,마선경,051-749-4062,,
113,부산,해운대구,"해운대 카운트다운
&해맞이축제",기타,"23.12.31.
~24.1.1.",해운대해수욕장 일원 ,대면,2019년도,-,-,미정,미정,"50,000", - ,부산광역시 해운대구,공공(시군구),부산광역시 해운대구 축제의 육성 및 지원에 관한 조례,,마선경,051-749-4062,,
114,부산,사하구,부산어묵축제,지역특산물,10월중 ,다대포해수욕장 해변공원 일원 또는 장림항 일원,대면,2015년도,-,60,60,120,"9,000","1,000",부산어묵축제추진위원회,협동조합,중소기업협동조합법,,최승훈,051-220-4492,,
115,부산,사하구,다대포 어항문화축제,전통역사,11월중,다대포항 공판장 일원,대면,2010년도,-,40,40,80,"9,000","1,000",다대포어항문화축제추진위원회,사단법인,-,,오초원,051-220-4501,,
116,부산,사하구,감천문화마을골목축제,전통역사,"10월중
(3일간)","감천문화마을
일원",대면,2011년도,-,-,-,미정,"23,000", - ,(사)감천문화마을 주민협의회,사단법인,"부산광역시 사하구 감천문화마을 조성 및 
운영 지원 등에 관한 조례",,이정원,051-220-5922,,
117,부산,금정구,금정산성축제,문화예술,5월중,금정산성일원,혼합형,1996년도,-,400,-,400,"10,000", - ,(재)금정문화재단,재단법인,금정구 금정문화재단 설립 및 운영에 관한 조례,,김명숙,051-519-4062,,
118,부산,금정구, 부산국제공연예술제,문화예술,9월중,부산대학로 및 금정구 일원,혼합형,2017년도,-,-,150,150,"30,000", - ,(재)금정문화재단,재단법인,금정구 금정문화재단 설립 및 운영에 관한 조례,,한지은,051-519-4066,,
119,부산,금정구,회동호 숲속 힐링 페스티벌,문화예술,10월중,회동호일원,혼합형,2023년도,-,50,-,50,"5,000", - ,부산광역시 금정구,공공(시군구),부산광역시 금정구 축제위원회 육성 및 지원에 관한 조례,,김명숙,051-519-4062,,
120,부산,금정구,라라라 페스티벌,기타,10월중,온천천,혼합형,2016년도,-,90,-,90,"100,000", - ,부산광역시 금정구,공공(시군구),부산광역시 금정구 축제위원회 육성 및 지원에 관한 조례,,이수예,051-519-4424,,
121,부산,연제구,연제고분판타지축제,전통역사,"3.31.~4.2.
(예정)","연산동 고분군,
온천천 시민공원",대면,2018년도,-,290,-,290,"10,000", - ,연제구축제추진위원회,위원회,부산광역시 연제구 축제추진위원회 육성 및 지원조례,,정의창,051-665-4065,,
122,부산,강서구,대저토마토축제,지역특산물,4.1.~4.2.,강서체육공원,대면,2001년도,-,40,250,290,"100,000", - ,대저토마토축제 추진위원회,위원회,부산광역시 강서구 축제 운영 및 지원에 관한 조례,,김지영,051-970-4812,,
123,부산,강서구,강서 낙동강30리 벚꽃축제,생태자연,3.31.~4.2.,대저생태공원,대면,2015년도,-,290,5,295,"100,000", - ,강서구축제추진위원회,위원회,부산광역시 강서구 축제 운영 및 지원에 관한 조례,,진은희,051-970-4062,,
124,부산,강서구,명지시장전어축제,지역특산물,8월중,명지시장 일원,대면,2001년도,-,40,-,40,"5,000", - ,명지시장전어축제추진위원회,위원회,부산광역시 강서구 축제 운영 및 지원에 관한 조례,,김은미,051-970-4472,,
125,부산,강서구,가덕도숭어축제,지역특산물,미정,미정,대면,2022년도,-,20,15,35,"5,000", - ,숭어축제추진위원회(가칭),위원회,부산광역시 강서구 축제 운영 및 지원에 관한 조례,,주가현,051-970-4502,,
126,부산,수영구,제21회 광안리어방축제,전통역사,5.12.~5.14.,"광안리해변 및 
수영사적공원 일원",대면,2001년도,30,1045,-,1075,"140,000","10,000",수영구축제위원회,위원회,부산시 수영구 축제육성 및 운영 지원에 관한 조례,문체부,백승진,051-610-4062,,
127,부산,사상구,사상강변축제,주민화합,10월중,삼락생태공원,대면,2001년도,-,280,-,280,"70,000", - ,부산사상문화원,비영리법인,부산광역시 사상구 사상문화원 지원 조례,,최윤정,051-310-4062,,
128,부산,기장군,정월대보름 달집태우기축제,주민화합,2.5.,철마면 장전리 256 일원,대면,2010년도,-,30,-,30, - , - ,기장군 철마면,기타,부산광역시 기장군 축제 운영 및 지원에 관한 조례,,하정만,051-709-5277,,
129,부산,기장군,기장멸치축제,지역특산물,4.28.~4.30.,대변항 일원,대면,1997년도,-,120,-,120, - , - ,기장멸치축제추진위원회,위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,,하정훈,051-709-4502,,
130,부산,기장군,기장미역다시마축제,지역특산물,4월중,이동항 일원,대면,2008년도,-,72,-,72, - , - ,기장미역다시마축제추진위원회,위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,,허민정,051-709-4612,,
131,부산,기장군,기장 봉한꿀 홍보행사,지역특산물,5월중,철마면 일원,대면,2013년도,-,3,-,3, - , - ,기장양봉연구회,위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,,조슬기,051-709-2892,,
132,부산,기장군,기장갯마을축제,주민화합,7~8월중,일광 해수욕장 일원,대면,1995년도,-,84,-,84, - , - ,기장갯마을축제추진위원회,위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,,박주희,051-709-4065,,
133,부산,기장군,기장붕장어축제,지역특산물,9~10월중,칠암항 일원,대면,2004년도,-,80,-,80, - , - ,기장붕장어축제추진위원회,위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,,이지예,051-709-4521,,
134,부산,기장군,정관 생태하천 학습문화축제,주민화합,10월중,정관읍 좌광천 일원,대면,2012년도,-,180,-,180, - , - ,정관 생태하천 학습문화축제 추진위원회,위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,,권소영,051-709-4332,,
135,부산,기장군,차성문화제,문화예술,10월중,기장읍 일원,대면,1995년도,-,290,-,290, - , - ,차성문화제추진위원회,위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,,배은미,051-709-4062,,
136,부산,기장군,철마 한우 불고기 축제,지역특산물,10월중,철마면 일원,대면,2005년도,-,80,-,80, - , - ,철마한우불고기축제추진위원회,위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,,조성연,051-709-2894,,
137,대구,-,형형색색 달구벌 관등놀이,문화예술,미정,대구전역,혼합형,2013,0,403,0,403,미개최,미개최,대구불교총연합회,사단법인,-,해당없음,신재호,053-803-3732,,
138,대구,-,대구포크페스티벌,문화예술,10.6.~10.7.,코오롱야외음악당,혼합형,2015,0,217,0,217,"18,000",-,대구포크페스티벌 조직위원회,사단법인,"문화예술진흥법 제3조, 제39조 등",해당없음,이선희,053-803-3746,,
139,대구,-,대구국제재즈축제,문화예술,10.6.~10.8.,수성못,대면,2005,0,210,0,210,"10,000",-,대구국제재즈축제 조직위원회,민간단체,"문화예술진흥법 제3조, 제39조 등",해당없음,이선희,053-803-3746,,
140,대구,-,대구생활문화제 ,문화예술,5.13.~5.14.,생활문화센터 등 대구일원,혼합형,2014,0,136,0,136,"1,500",-,대구문화예술진흥원,재단법인,재단법인 대구문화예술진흥원 설립 및 운영 조례,해당없음,박정남,053-803-3632,,
141,대구,-,파워풀대구페스티벌,문화예술,5.13.~5.14.,국채보상로 일원,대면,2005,0,"1,800",0,"1,800","800,000","5,000",(사)한국예총대구광역시연합회,비영리법인,민법 제32조,해당없음,이병욱,053-803-6221,,
142,대구,-,대구국제뮤지컬페스티벌,문화예술,5.19.~6.5.,오페라하우스 및 공연장,혼합형,2007,650,"2,300",0,"2,950","32,617",-,대구국제뮤지컬페스티벌,사단법인,문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙,문체부,류혜숙,053-803-3791,,
143,대구,-,대구국제오페라축제,문화예술,10.6.~11.11.,대구오페라하우스 및 대구일원,대면,2003,0,"1,500",820,"2,320","28,557",823,대구문화예술진흥원 대구오페라하우스,재단법인,"舊(재)대구오페라하우스 설립 및 운영에 관한 조례
(재)대구문화예술진흥원 설립 및 운영에 관한 조례",해당없음,김영진,053-803-3792,,
144,대구,-,대구콘텐츠페어,기타(산업육성),10.7.~10.8.,엑스코,혼합형,2022,0,320,0,320,"3,374",-,(주)엑스코,주식회사,대구광역시 주식회사 엑스코 설립 조례,해당없음,김대영,053-803-3802,,
145,대구,-,팔공산 산중전통장터 승시 축제,전통역사,10월중,동화사,대면,2010,0,460,92,552,"45,268",0,대한불교조계종 동화사,비영리법인,-,해당없음,도경용,053-803-6513,,
146,대구,-,대구치맥페스티벌,기타,7월경,두류공원,대면,2013,30,"1,240",900,"2,170","200,000","10,000",(사)한국치맥산업협회,사단법인,농림축산식품부장관 및 그소속청장 소관비영리법인의설립및 감독에 관한규칙,문화체육관광부,정명화,053-803-3462,,
147,대구,-,제45회대구약령시한방문화축제,전통역사,5.5.~5.7.,대구약령시일원,대면,1978,30,470,20,520,"130,000",500,약령시보존위원회,사단법인,"민법 제32조, 대구광역시 사무의 민간위탁 촉진 및 관리 조례 제4조, 대구광역시 한의약박물관 관리 및 운영조례",문체부,이화선,053-803-6452,,
148,대구,중구,제18회 대구패션주얼리위크,특산물,9월 중,대구패션주얼리특구 일원,대면,2006,0,10,0,10,"2,000",200,대구패션주얼리특구상인회,상인회,전통시장 및 상점가 육성을 위한 특별법,해당없음,이수호,053-661-2647,,
149,대구 ,중구,"제10회 빨간구두이야기
(수제화축제)",문화예술,10월 중,향촌동 수제화골목,대면,2014,0,25,0,25,300,50,-,-,-,해당없음,이근하,053-661-2464,,
150,대구,중구,서문시장글로벌대축제,전통역사,10월 중,서문시장일대,혼합,1997,60,130,10,200,미개최,-,대구 서문시장 연합회,비영리법인,-,중기부,이태현,053-661-2675,,
151,대구,중구,교동시장한마음축제,전통역사,10월 중,교동시장일대,혼합,2011,30,20,3,53,미개최,-,교동시장활성화구역상인회,비영리법인,-,중기부,이태현,053-661-2675,,
152,대구,중구,대구 문화재야행,문화예술,8.18~19.,경상감영공원,대면,2016,80,120,0,200,"12,723",-,-,-,-,문화재청,김동균,053-661-2195,,
153,대구,중구,제11회 대구스트리트모터페스티벌,기타,5월중,남산동자동차부속골목일원,대면,2010,0,58,25,83,"10,000",-,대구스트리트모터페스티벌 조직위원회,상인회,-,해당없음,차영미,053-661-3014,,
154,대구,중구,"제11회 김광석, 나의 노래 다시부르기",문화예술,9월중,신천둔치,대면,2013,0,159,0,159,"4,000",-,대구문화방송㈜,법인,-,해당없음,김보경,053-661-2177,,
155,대구,중구,제34회 동성로축제,기타,5.12.~5.14.,동성로일원,대면,1990,0,30,미정,30,"85,000",-,(사)달성문화선양회,비영리민간단체,-,해당없음,김보경,053-661-2177,,
156,대구,중구,제31회 봉산미술제,문화예술,5월중,봉산문화거리일원,대면,1993,0,20,미정,20,"5,000",-,봉산문화협회,비영리민간단체,-,해당없음,김보경,053-661-2177,,
157,대구,중구,김광석길페스티벌,문화예술,10월중,김광석거리일원,대면,2020,0,28,미정,28,"35,000",-,방천문화예술협회,비영리민간단체,-,해당없음,김보경,053-661-2177,,
158,대구,중구,대구화교중화문화축제,문화예술,10월중,"대구화교소학교, 종로거리일원",대면,2006,0,20,미정,20,미개최,-,대구화교협회,비영리민간단체,-,해당없음,김보경,053-661-2177,,
159,대구,동구,팔공산 벚꽃축제,생태자연,4월중,"팔공산
동화지구",대면,2009,0,30,0,30,미개최,-,팔공산 동화지구 상가번영회,축제조직위,-,해당없음,박윤미,053-662-4072,,
160,대구,동구,팔공산 단풍축제,생태자연,10월중,"팔공산
동화지구",미정,2000,0,25,0,25,온라인 개최,-,팔공산 동화지구 상가번영회,축제조직위,-,해당없음,박윤미,053-662-4072,,
161,대구,서구,"달구벌목민관 부임
마을축제",전통역사,10월중(2일간),서구일대북비산네거리,대면,2015,0,40,0,40,미개최,-,해당없음,-,-,해당없음,전소희,053-663-2184,,
162,대구,남구,제28회 대덕제 「대구앞산축제」,문화예술,5.5.~5.6.,앞산빨래터공원,대면,1987,0,374,0,374,"10,000",-,대구광역시남구,기초지자체,-,해당없음,최민현,053-664-3262,,
163,대구,남구,제11회 로드페스티벌,문화예술,6.17.~6.18.,대명공연거리,대면,2013,0,47,0,47,"5,000",-,대명공연예술단체연합회,민간단체,-,해당없음,이지은,053-664-3263,,
164,대구,남구,2023 대구할로윈축제,문화예술,10.28.~10.29.,안지랑곱창골목,대면,2018,0,130,0,130,"5,000",-,미정,-,-,해당없음,최민현,053-664-3262,,
165,대구,북구,금호강바람소리길축제,문화예술/생태환경,9월~10월중,금호강 산격대교 하단,대면,2015,0,470,0,470,"50,000",-,행복북구문화재단,재단법인,대구광역시 북구 문화재단 설립 및 운영에 관한 조례,해당없음,이효영,053-665-2172,,
166,대구,북구,떡볶이 페스티벌,문화예술,5~6월 중,DGB대구은행파크,대면,2021,0,200,0,200,"30,000",-,대구광역시북구,기초지자체,-,해당없음,이효영,053-665-2172,,
167,대구,북구,논두렁밭두렁마을축제,생태환경,10월중,학정동 들녘,대면,2014,0,10,0,10,"4,000",-,강북풀뿌리단체협의회,민간,비영리민간단체지원법,해당없음,이효영,053-665-2172,,
168,대구,북구,댕댕이 페스티벌,주민화합,4~5월중,금호강 산격대교 하단,대면,2023,0,95,0,95,미개최,-,영남일보,-,-,해당없음,도유경,053-665-3192,,
169,대구,수성구,수성못페스티벌,문화예술,9.22.~9.24.,수성못,대면,2014,0,430,0,430,"180,000",-,수성문화재단,재단법인,대구광역시 수성구 문화재단 설립 및 운영에 관한 조례,해당없음,구혜련,053-666-2163,,
170,대구,달서구,장미꽃 필 무렵,생태자원,5.19.~5.21.,이곡장미공원 등,대면,2011,0,66,0,66,"5,300",-,달서문화재단,재단법인,대구광역시달서구 문화재단 설립 및 운영에 관한 조례(2021년),해당없음,윤문석,053-584-9714,,
171,대구,달서구,선사문화체험축제,전통역사,5.12.~5.13.,한샘청동공원 등,대면,2015,0,50,0,50,"5,000",-,달서구문화원,사단법인,지방문화원진흥법,해당없음,강효승,053-554-4800,,
172,대구,달서구,희망달서 큰잔치,주민화합,10월중,달서아트센터 일원,대면,2013,0,200,0,200,"5,000",-,달서문화재단,재단법인,대구광역시달서구 문화재단 설립 및 운영에 관한 조례(2021년),해당없음,윤문석,053-584-9714,,
173,대구,달성군,제27회 참꽃 문화제,문화예술,4.22.~4.23.,비슬산,대면,1997,0,250,0,250,미개최,-,달성문화재단,재단법인,"대구광역시 달성군 달성문화재단 설립 및 
운영 조례",해당없음,이수권,053-668-2172,,
174,대구,달성군,2023 100대 피아노,문화예술,10.7.,사문진야외공연장,대면,2012,0,550,0,550,"20,000",50,달성문화재단,재단법인,"대구광역시 달성군 달성문화재단 설립 및 
운영 조례",해당없음,이수권,053-668-2172,,
175,대구,달성군,yes! 키즈존,문화예술,5월/ 10월,강정보/ 국립대구과학관,대면,2023,0,290,0,290,미개최,-,달성문화재단,재단법인,"대구광역시 달성군 달성문화재단 설립 및 
운영 조례",해당없음,이수권,053-668-2172,,
176,인천,경제청,송도대표 축제,ㅇ 지역 전통문화,23년 10월중,송도달빛축제공원일원,대면,2022년,,280,,,"15,000",,연수문화재단,재단법인,연수문화재단 설립에 관한 조례(2019년),,손병락,032-453-7872,,
177,인천,경제청,영종대표축제,ㅇ 지역 전통문화,23년 10월중,영종 씨사이드파크광장,대면,2022년,,280,,,"60,000",,중구문화재단,재단법인,중구문화재단 설립에 관한 조례(2022년),,손병락,032-453-7872,,
178,인천,경제청,청라대표축제,ㅇ 지역 전통문화,23년 10월중,청라호수공원,대면,2022년,,280,,,"60,000",,서구문화재단,재단법인,서구문화재단 설립에 관한 조례(2017년),,손병락,032-453-7872,,
179,인천,경제청,용유 바다축제,ㅇ 지역 전통문화,23년 7.~8월,용유일원,대면,2018년,,200,,,"1,000",,중구문화재단,재단법인,중구문화재단 설립에 관한 조례(2022년),,손병락,032-453-7872,,
180,인천,경제청,IFEZ 20주년 경축음악회,ㅇ IFEZ 20주년 기념,23년 10월중,송도일원,대면,,,400,,,,,미디어문화과,,,,손병락,032-453-7872,,
