연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,
721,경기,성남시,성남 축제의 날,문화예술,10.6.~10.9.,성남 일원,대면,2019,0,"1,397",0,"1,397","15,583명",0,성남문화재단,재단법인,성남시문화재단 설립 및 운영에 관한 조례,,박서현,031-729-2973
722,경기,화성시,제14회 품앗이 공연예술축제,문화예술,6월 중(4일간),민들레 연극마을,혼합형,2009,0,70,0,70,160명,0,화성시문화재단,재단법인,화성시문화재단 설립 및 운영에 관한 조례,,조현옥,031-5189-6147
723,경기,화성시,제12회 화성뱃놀이축제,생태자연,6~9월 중(3일간),전곡항 및 제부도,혼합형,2008,0,"1,350",0,"1,350",0,0,화성시문화재단,재단법인,화성시문화재단 설립 및 운영에 관한 조례,,정현,031-5189-6136
724,경기,화성시,화성송산포도축제,특산물,9.3.~9.4.,궁평항 광장,대면,2013,0,250,0,250,0,0,(사)화성송산포도연합회,위원회,"농업농촌및식품산업기본법,
화성시농특산물통합상표사용에관한조례",,박진영,031-5189-6441
725,경기,화성시,화성 평화 행사,"문화예술, 생태자연",9~10월 중,화성호 및 화성드림파크 등,혼합형,2017,0,290,0,290,0,0,,,,,김수희,031-5189-3017
726,경기,화성시,정조 효 문화제(정조대왕 능행차 화성구간),전통역사,10월 중(2일간),융건릉,혼합형,2002,0,"1,380",0,"1,380",0,0,화성시문화재단,재단법인,화성시문화재단 설립 및 운영에 관한 조례,,조경신,031-5189-3835
727,경기,부천시,제25회 부천국제만화축제,문화예술,9.22.~9.25.,"부천시청, 한국만화박물관 등",혼합형,1998,0,470,100,570,"86,254명",0,한국만화영상진흥원,재단법인,한국만화영상진흥원 설치 및 운영 조례(2020년),,홍성찬,032-625-9376
728,경기,부천시,제6회 국제코스프레 페스티벌,문화예술,9.22.~9.25.,"부천시청, 한국만화박물관 등",혼합형,2017,0,200,0,200,"86,254명",0,한국만화영상진흥원,재단법인,한국만화영상진흥원 설치 및 운영 조례(2020년),,홍성찬,032-625-9376
729,경기,부천시,제24회 부천국제애니메이션페스티벌,문화예술,10.21.~10.25.,"부천시청, CGV부천 등",혼합형,1999,0,"1,100",0,"1,100","10,992명",0,부천국제애니메이션페스티벌조직위원회,사단법인,부천시 영상 문화 산업 진흥 조례(2016년),,이윤정,032-625-9377
730,경기,남양주시,제36회 정약용문화제,전통역사,9월 중(2일간),"정약용유적지, 다산생태공원 일원",혼합형,1986,0,570,0,570,"16,000명",0,정약용문화제추진위원회,비영리법인,남양주시 정약용문화제 조례,,황혜진,031-590-2799
731,경기,안산시 ,제18회 안산국제거리극축제,문화예술,5.5.~5.7.,안산문화광장,대면,2005,0,530,0,530,"8,230명",0,안산문화재단,재단법인,안산시 안산문화재단 설립 및 운영 조례,,류필,031-481-2068
732,경기,평택시,평택 꽃 나들이,문화예술,4월 중~5월 초,평택시농업기술센터 및 농업생태원 일원,대면,2003,0,200,0,200,"75,545명","4,000명",한국예총   평택지회,사단법인,"농어업·농어촌 및 식품산업 기본법 제45조, 제51조, 문화예술 진흥법 제3조",,최재구,031-8024-4665
733,경기,평택시,송탄관광특구 한마음대축제,기타(주민화합 등),9월 중,서정동 관광특구로 일대,대면,1998,0,210,0,210,"10,000명","2,000명",(사)송탄관광특구연합회,사단법인,,,민유진,031-8024-3291
734,경기,평택시,제1회 평택한가락페스타,기타(주민화합 등),10월 중,소사벌레포츠타운일원,대면,2022,0,430,0,430,0,0,평택시문화재단,재단법인,평택시 문화재단 설립 및 운영조례,,민유진,031-8024-3291
735,경기,평택시,무형문화재 축제,문화예술,9.23.~9.24.,평택시청앞,대면,2006,0,60,0,60,0,0,평택농악보존회,사단법인,,,손민정,031-8024-3247
736,경기,평택시,한미 어울림 축제,문화예술,7월 중(2일간),미군부대 앞 거리,대면,2019,0,250,0,250,0,0,평택시국제교류재단,재단법인,평택시 국제교류재단 설립 및 운영 조례,,양희은,031-8024-5336
737,경기,평택시,한미친선 한마음 축제,문화예술,10월 중(2일간),안정리 로데오 거리,대면,2006,0,120,0,120,"1,500명","2,499명",평택시국제교류재단,재단법인,평택시 국제교류재단 설립 및 운영 조례,,양희은,031-8024-5336
738,경기,평택시,한미친선 문화 한마당,문화예술,10월 중(2일간),신장쇼핑몰,대면,2004,0,120,0,120,"3,950명","3,949명",평택시국제교류재단,재단법인,평택시 국제교류재단 설립 및 운영 조례,,양희은,031-8024-5336
739,경기,평택시,평택 가을 수확축제,문화예술,10월 중,평택시농업기술센터 및 농업생태원 일원,대면,2022,0,30,0,30,0,0,,,,,최재구,031-8024-4665
740,경기,안양시,안양충훈벚꽃축제,생태자연,4월 중(3일간),석수3동 충훈2교 일대,(미정),2003,0,70,0,70,0,0,안양문화예술재단,재단법인,안양문화예술재단 설립 및 운영 조례,,안이경,031-8045-2064
741,경기,안양시,안양시민축제,기타(주민화합 등),9월 중(3일간),"평촌
중앙공원 등",(미정),2000,0,650,0,650,"829,644명",0,안양문화예술재단,재단법인,안양문화예술재단 설립 및 운영 조례,,안이경,031-8045-2064
742,경기,시흥시,제17회 시흥갯골축제,생태자연,9월 중,"공원, 온라인",혼합형,2006,30,770,0,800,"231,168명",0,,,,문체부,윤현미,031-310-2916
743,경기,시흥시,제1회 시흥거북썸(SSUM)축제,기타(주민화합 등),6월 중,시흥 거북섬 및 웨이브파크 일원,대면,2022,0,275,0,275,0,0,,,,,심서율,031-310-2906
744,경기,김포시,제6회 김포 아라마린 페스티벌,문화예술,8월 중(2일간),김포 아라마리나,혼합형,2017,0,200,100,300,"49,047명",0,,,,,전혜진,031-5186-4032
745,경기,김포시,월곶 저잣거리 축제,전통역사,9월 중,김포 월곶면 군하리,혼합형,2019,0,100,0,100,0,0,,,,,전혜진,031-5186-4032
746,경기,김포시,김포 도심축제,문화예술,10월 중,금빛수로,혼합형,2020,0,50,0,50,"3,305명",0,,,,,이송은,031-5186-4033
747,경기,파주시,파주개성인삼축제,특산물,10.15.~10.16.,임진각 광장,대면,2005,0,490,0,490,"10,000명",0,파주개성인삼축제추진위원회,위원회,,,김진환,031-940-5281
748,경기,파주시,파주장단콩축제,특산물,11.25.~11.27.,임진각 광장,대면,1997,0,684,0,684,"30,000명",0,파주장단콩축제추진위원회,위원회,,,김진환,031-940-5281
749,경기,파주시,파주북소리축제,문화예술,10월 중,파주출판도시,혼합형,2011,0,281,0,281,"6,303명",0,출판도시 문화재단,재단법인,"문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제4조, 민법제32조",,최영환,031-940-4721
750,경기,파주시,제20회 어린이책잔치,문화예술,5.5.~5.8.,파주출판도시,혼합형,2003,200,64,30,294,"18,500명",0,출판도시 문화재단,재단법인,"문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제4조, 민법제32조",문체부,이채현,031-940-4723
751,경기,파주시,제17회 헤이리 예술축제,문화예술,9~11월,헤이리 예술마을,혼합형,2005,0,84,0,84,"15,000명",0,헤이리,사단법인,"지역문화진흥법 제18조, 경기도 문화지구 관리 및 육성에 관한 조례",,채유빈,031-940-8519
752,경기,파주시,율곡문화제,전통역사,10월 중,율곡이이 유적지,대면,1987,0,200,0,200,0,0,파주문화원,사단법인,파주문화원 지원 조례,,신지은,031-940-4351
753,경기,의정부시,제21회 의정부음악극축제,문화예술,5.3.~5.14.,시청앞광장,혼합형,2002,0,770,90,860,"30,591명",12명,의정부문화재단,재단법인,의정부문화재단 설립 및 운영에 관한 조례(2019),,김은미,031-828-4342
754,경기,의정부시,제4회 블랙뮤직페스티벌,문화예술,8.27.~8.28.,시청앞광장,대면,2018,0,350,0,350,"1,287명",56명,의정부문화재단,재단법인,의정부문화재단 설립 및 운영에 관한 조례(2019),,김은미,031-828-4342
755,경기,의정부시,회룡문화제,전통역사,10.7.~10.9.,의정부시 일원,대면,1986,0,225,0,225,0,0,의정부문화원,사단법인,지방문화원진흥법 제4조,,윤진아,031-828-4332
756,경기,광주시,제27회 광주남한산성문화제,전통역사,9.16.09.18.,남한산성도립공원,혼합형,1996,0,570,0,570,0,0,광주시문화재단,재단법인,광주시문화재단 설립 및 운영에 관한 조례(2019년),,서남희,031-760-1724
757,경기,광주시,제25회 광주왕실도자기축제,문화예술,5.5.~5.8.,곤지암도자공원,혼합형,1997,0,590,0,590,0,0,광주시문화재단,재단법인,광주시문화재단 설립 및 운영에 관한 조례(2019년),,서남희,031-760-1724
758,경기,광주시,제2회 광주허난설헌문화제,문화예술,6.17.~6.19.,남한산성아트홀,혼합형,2021,0,120,0,120,600명,0,광주시문화재단,재단법인,광주시문화재단 설립 및 운영에 관한 조례(2019년),,이어상,031-760-2692
759,경기,광주시,제1회 곤지암소머리국밥축제,특산물,4.16.~4.17.,곤지암읍구시가지,대면,2022,0,38,0,38,0,0,광주시곤지암소머리국밥축제위원회,민간단체,광주시 곤지암 소머리국밥축제 운영 및 지원 조례,,이지원,031-760-4924
760,경기,광주시,제20회 퇴촌토마토축제,특산물,6.17.~6.19.,퇴촌공설운동장,대면,2003,0,160,40,200,0,0,퇴촌토마토축제위원회,위원회,광주시 퇴촌 토마토축제 운영 및 지원 조례,,김윤호,031-760-4819
761,경기,광명시,오리문화제,문화예술,5월 중,충현박물관(오리 이원익 영우 등),대면,1992,0,70,0,70,0,0,광명문화원,사단법인,지방문화원진흥법,,정지연,02-2680-6498
762,경기,광명시,광명농악대축제,문화예술,10월 중,(미정),대면,2007,0,70,0,70,0,0,광명농악보존회,민간단체,무형문화재 보전 및 진흥에 관한 법률,,홍재석,02-2680-0761
763,경기,광명시,구름산예술제,문화예술,10월 중,(미정),대면,1991,0,149,0,149,0,0,(사)한국예총광명지회,민간단체,문화체육관광부 및 문화재청 소관 비영리법인의 설립및감독에관한규칙,,오선미,02-2680-2160
764,경기,광명시,위드코로나 문화백신『switch  : 스위치』기획축제,문화예술,하반기,(미정),대면,2022,0,300,0,300,0,0,,,,,오선미,02-2680-2160
765,경기,하남시,하남이성산성문화축제,전통역사,9월 중,(미정),혼합형,1996,0,200,0,200,"60,000명",0,하남문화재단,재단법인,하남문화재단 설립 및 운영 지원 조례,,신민정,031-790-5535
766,경기,군포시,군포철쭉축제,생태자연,4월 중,"군포철쭉공원, 초막골생태공원 등",대면,2011,0,583,0,583,0,0,군포문화재단,재단법인,군포문화재단 설립 및 운영에 관한 조례,,송영미,031-390-0063
767,경기,오산시,제13회 오산 독산성문화제,전통역사,10.15.~10.16.,고인돌공원 및 독산성 세마대지 일원,혼합형,2010,0,590,0,590,0,0,오산문화재단,재단법인,오산문화재단 설립및 운영 조례(2012년 제정),,이해나,031-8036-7613
768,경기,양주시,양주 회암사지 왕실축제,전통역사,9월 말~10월 초(2일간),회암사지 일원,혼합형,2017,0,295,0,295,"88,894명",0,,,,,김종임,031-8082-4171
769,경기,양주시,양주문화재야행,전통역사,9.23.~9.25.,양주관아지 일원,대면,2020,145,218,0,363,"24,760명",0,,,,문화재청,조범규,031-8082-5673
770,경기,양주시,양주 천만송이 천일홍 축제,생태자연,9월 말~10월 초(2일간),양주나리농원 일원,혼합형,2017,0,578,0,578,0,0,,,,,이봉숙,031-8082-5655
771,경기,이천시,이천체험문화축제,기타(주민화합 등),5월 셋째주 ,(미정),대면,2014,0,45,0,45,0,0,이천나드리,사단법인,이천시 체험관광 활성화 지원 조례(2019년),,김은정,031-645-3679
772,경기,이천시,제24회 이천쌀문화축제,"문화예술, 전통역사, 특산물",(미정),설봉공원,(미정),1999,0,815,0,815,0,0,이천문화재단,재단법인,이천문화재단 설립에 관한 조례(2021년),,신윤희,031-645-3653
773,경기,이천시,제36회 이천도자기축제,"문화예술, 전통역사, 특산물",(미정),예스파크,(미정),1987,0,661,0,661,0,0,이천문화재단,재단법인,이천문화재단 설립에 관한 조례(2021년),,신윤희,031-645-3653
774,경기,이천시,제8회 이천인삼축제,특산물,11.4.~11.6.,설봉공원,대면,2015,0,150,150,300,"150,000명",50명,이천인삼축제추진위원회,위원회,이천시 인삼축제추진위원회 운영조례,,백현숙,031-644-2322
775,경기,이천시,제12회 이천시 주민자치평생학습축제,기타(주민화합 등),4~5월 중(3일간),(미정),대면,2005,0,186,0,186,0,0,이천시평생학습실무추진위원회,위원회,이천시 평생학습조례 제6조,,윤진희,031-644-4334
776,경기,이천시,이천시국제일루전페스티벌,문화예술,9월 중,"이천시 설봉공원, 아트홀 등",혼합형,2020,0,500,0,500,0,0,이천시국제일루전페스티벌 조직위원회,위원회,이천국제일루전페스티벌 조직위원회 설치 및 운영조례,,김연희,031-645-3009
777,경기,이천시,제26회 햇사레장호원복숭아축제,특산물,9월 중(3일간),햇사레농산물산지유통센터,대면,1997,0,150,0,150,0,0,햇사레장호원복숭아축제추진위원회,위원회,이천시 장호원복숭아축제추진위원회 운영조례,,구경화,031-644-2323
778,경기,이천시,이천백사산수유꽃축제,생태자연,3~4월 중(3일간),백사면 산수유마을,대면,2000,0,236,0,236,0,0,이천백사산수유꽃축제추진위원회,위원회,이천백사산수유꽃축제추진위원회 운영조례,,조완근,031-644-8511
779,경기,이천시,설봉산 별빛축제,문화예술,(미정),설봉공원,(미정),2004,0,38,0,38,0,0,이천예총,사단법인,이천시 문화예술 육성 및 지원에 관한 조례,,이남희,031-645-3662
780,경기,구리시,구리 행복 365 축제,문화예술,1.1.~12.31.(365일간),"광장,공원, 전통시장 등",혼합형,2021,0,280,0,280,"32,000명",0,,,,,이선희,031-550-2065
781,경기,구리시,제1회 구리 꽃길 축제,문화예술,4월 중,구리시 체육관로 일대,대면,2022,0,80,0,80,0,0,한국예총구리지회,사단법인,"민간행사보조사업
- 축제추진위 구성 추진 예정
- 후원:구리시",,이선희,031-550-2065
782,경기,안성시,안성맞춤 남사당 바우덕이 축제,문화예술,9월 말~10월 초,안성맞춤랜드,혼합형,2001,30,"1,586",0,"1,616",0,0,안성맞춤 남사당 바우덕이 축제위원회,위원회,안성맞춤 남사당 바우덕이 축제 조례 시행규칙,문체부,김준형,031-678-2513
783,경기,안성시,안성맞춤포도축제,특산물,9월 중,(미정),대면,2007,0,50,0,50,300명,0,안성맞춤포도축제위원회,비영리법인,,,김조아,031-678-3732
784,경기,안성시,죽주대고려문화축제,전통역사,9월 말~10월 초,죽산시내,대면,2004,0,50,0,50,0,0,죽주대고려문화축제위원회,재단법인,문화예술진흥법 제39조,,유근원,031-678-3912
785,경기,의왕시,제17회 의왕철도축제,기타(주민화합 등),"5월 중
(2일간)","공원
",대면,2002,0,288,0,288,0,0,의왕시축제추진위원회,위원회,의왕시 축제추진위원회 설치 및 운영 등에 관한 죠례,,권대호,031-345-2548
786,경기,의왕시,제17회 의왕백운호수축제,기타(주민화합 등),"9월 중
(2일간)","거리,호수근처",대면,2001,0,280,0,280,0,0,의왕시축제추진위원회,위원회,의왕시 축제추진위원회 설치 및 운영 등에 관한 죠례,,권대호,031-345-2548
787,경기,포천시,포천 산정호수 명성산 억새꽃 축제,생태자연,10.8.~10.16.(9일간),산정호수,혼합형,1997,0,200,0,200,"418,295명",0,문화재단,재단법인,포천시 문화예술 지원 및 육성에 관한 조례,,이민준,031-538-2068
788,경기,포천시,백운계곡 동장군 축제,생태자연,22.12.24.~23.2.6.,도리돌마을,대면,2003,0,70,0,70,"2,000명",0,축제추진위원회,위원회,포천시 축제 발전 및 운영에 관한 조례,,이민준,031-538-2068
789,경기,양평군,제23회 양평단월고로쇠축제,특산물,3월 중,단월레포츠공원,혼합형,1999,0,120,0,120,0,0,양평단월고로쇠축제추진위원회,위원회,양평군 축제 운영 및 지원에 관한 조례,,판예린,031-770-3192
790,경기,양평군,제19회 양평 산수유 한우 축제,생태자연,3월 중,개군면 레포츠공원,대면,2004,0,120,0,120,0,0,양평산수유?한우축제추진위원회,위원회,양평군 축제 운영 및 지원에 관한 조례,,고영운,031-770-3342
791,경기,양평군,제11회 용문면 산나물축제,특산물,4.29.~5.1.,"용문역, 용문산관광지",혼합형,2008,0,120,0,120,0,0,용문면산나물축제추진위원회,비영리기관,양평군 축제 운영 및 지원에 관한 조례,,한상봉,031-770-3332
792,경기,양평군,제12회 용문산 산나물 축제,특산물,5월 중,용문산 관광지,혼합형,2008,0,600,0,600,"137,059명",0,양평군 축제추진위원회,위원회,양평군 축제 운영 및 지원에 관한 조례,,곽철승,031-770-2308
793,경기,양평군,제9회 양평 워터워 페스티벌(양평 물축제),기타(주민화합 등),7월 중,"옥천면 레포츠공원 및 
사탄천 일원",대면,2012,0,120,0,120,0,0,옥천면물축제추진위원회,위원회,양평군 축제 운영 및 지원에 관한 조례,,정우선,031-770-3132
794,경기,양평군,제4회 양평부추축제,특산물,10.24.~10.25.,양동면 석곡천일원,대면,2016,0,120,0,120,0,0,양평부추축제위원회,위원회,양평군 축제 운영 및 지원에 관한 조례,,이하영,031-770-3253
795,경기,여주시,제34회 여주도자기축제,특산물,4.9.~4.17.,여주프리미엄아울렛 일원,혼합형,1990,0,820,10,830,"240,000명",0,"여주세종
문화재단",재단법인,"여주세종문화재단 설립 및 
운영에 관한 조례(2017년)",,정영훈,031-881-9693
796,경기,여주시,여주오곡나루축제,특산물,10월 중(3일간),신륵사 관광지 일원,혼합형,1998,30,30,887,947,"42,604명",0,"여주세종
문화재단",재단법인,"여주세종문화재단 설립 및 
운영에 관한 조례(2017년)",문체부,이영미,031-881-9692
797,경기,여주시,제6회 여주흥천남한강벚꽃축제,생태자연,4.8.~4.10.,흥천면 귀백리,혼합형,1997,0,100,0,100,"250,000명",0,여주흥천남한강벚꽃축제위원회,위원회,,,조경희,031-887-3875
798,경기,여주시,제16회 금사참외축제,특산물,5.27.~5.29.,금사근린공원 일원,혼합형,2007,0,120,45,165,"12,000명",0,금사참외축제위원회,사단법인,여주시 축제 발전과 지원에 관한 조례(2015),,김명식,031-887-3902
799,경기,여주시,여주선비장터 축제,기타(주민화합 등),10월 초(2일간),"가남읍 시장, 
도로변",대면,2018,0,93,0,93,0,0,가남읍 축제추진위원회,위원회,,,이경재,031-887-3833
800,경기,여주시,제18회 산북품실축제,기타(주민화합 등),10월 중(2일간),산북체육공원 일원,혼합형,2005,0,50,10,60,"3,000명",0,산북품실축제위원회,위원회,여주시 축제 발전과 지원에 관한 조례(2015),,박민정,031-887-3913
801,경기,동두천시,소요단풍문화제,문화예술,10월 중,소요산 야외음악당,대면,1985,0,65,0,65,0,0,동두천문화원,사단법인,지방문화원진흥법 제4조,,이정민,031-860-2063
802,경기,동두천시,동두천락페스티벌,문화예술,10월 중,(미정),대면,1999,0,250,0,250,0,0,동두천락페스티벌조직위원회,위원회,,,이정민,031-860-2063
803,경기,과천시,과천축제,문화예술,9.23.~9.25.,과천시 일원,대면,1997,0,"1,150",0,"1,150",0,0,과천문화재단,재단법인,과천문화재단 설립 및 운영에 관한 조례,,김효현,02-3677-2065
804,경기,가평군,자라섬 재즈페스티벌,문화예술,"10월 중
(3일간)",자라섬,대면,2004,0,700,800,"1,500","4,500명",100명,(사)문화현상,사단법인,,,황승현,031-580-4322
805,경기,가평군,제1회 가평 가을꽃 거리축제,문화예술,9~10월 중(3주간),음악역1939,대면,2022,0,350,0,350,0,0,,,,,황승현,031-580-4322
806,경기,연천군,제29회 연천 구석기 축제,전통역사,10월 중,연천 전곡리 유적,대면,1993,30,956,0,986,(미집계),(미집계),연천구석기축제추진위원회,추진위원회,연천구석기축제및연천구석기겨울여행운영조례,문체부,정세미,031-839-2562
807,경기,연천군,연천율무축제(연천농특산물큰장터),특산물,10월 중,연천 전곡리 유적,대면,2008,0,290,0,290,(미집계),(미집계),연천군농산물큰장터추진위원회,추진위원회,연천군 농산물 큰장터 축제 운영 조례,,김영길,031-839-2313
808,경기,연천군,연천국화축제,생태자연,10월 중,연천 전곡리 유적,대면,2014,0,400,0,400,(미집계),(미집계),,,,,이승일,031-839-4214
809,경기,연천군,제9회 통일바라기 축제,생태자연,9월 중,연천 호로고루 통일바라기공원,대면,2014,0,44,0,44,"233,176명",(미집계),,,,,김정은,031-839-2740
810,경기,연천군,고려인삼축제,특산물,10월 중,연천 전곡리 유적,대면,2017,0,25,25,50,0,0,연천군인삼연구회,농업인단체,,,황의섭,031-839-2826
811,경기,연천군,제1회 임진강 댑싸리공원 축제,"문화예술, 생태자연",10월 중,임진강 댑싸리공원,대면,2022,0,91,0,91,0,0,,,,,왕창원,031-839-2739
812,경기,연천군,제1회 당포성 별빛 축제,"문화예술, 생태자연",10월 중,연천 당포성,대면,2022,0,30,0,30,0,0,,,,,최지영,031-839-2736
813,대전,동구,제2회 대동천 가든 페스티벌,"ㅇ 문화예술
ㅇ 생태자연","22.4월중
22.9월중",동구 대동천변,대면,2021,,80,,80,"24,000명",500명,,,,,권준복,042-251-6674
814,대전,동구,제2회 대전부르스축제,"ㅇ 문화예술
ㅇ 기타(주민화합등)",22.10.월중,"동구 중부건어물특화거리, 한의약인쇄거리  및
중앙시장일원",대면,2021,,230,,230,"40,000명",,,,,,강경희,042-251-6684
815,대전,동구,제4회 대청호벚꽃축제,"ㅇ 문화예술
ㅇ 자연생태
ㅇ 기타(주민화합등)",22.4월중,"동구 오동선 벚꽃길 일원
(신상동282번지 일원)",온택트,2019,,300,,300,"50,000명",,,,,,심용숙,042-251-6682
816,대전,중구,제13회 대전효문화뿌리축제,전통역사,"9~10월 중
(3일)",뿌리공원 및 원도심 일원,혼합형,2008년,0,800,0,800,"2021(비대면): TV시청자수 2,123천명/유튜브조회수 102천명
2020(미개최)
2019(대면): 359천명","2021(비대면): 내국인에 일괄작성
2020(미개최)
2019(대면): 1천명",대전효문화뿌리축제추진위원회,추진위원회,대전광역시 중구 축제위원회 운영 조례,문체부,이유선,042-606-6293
817,대전,서구,"2022 대전 서구힐링
아트페스티벌",ㅇ 문화예술,"5.27.~5.29.

*코로나19
상황에 따라 변경 가능","샘머리
및
보라매공원 일원",ㅇ혼합형,2016년,0,826,0,826,"5,000명",-,-,-,-,-,안태현,288-2742
818,대전,유성구,제27회 유성온천문화축제,ㅇ 문화예술,5.6.~5.8.,온천로 일원,ㅇ혼합형,1989년, ,880, ,880,"15,000명","5,000명",해당없음, ,,,채민석,042-611-2080
819,대전,대덕구,"2022 대청호
대덕뮤직페스티벌","ㅇ 문화예술
","4.1.~4.10.
(예정)","대청공원
 및
 신탄진 인근",ㅇ혼합형,2011년도 ,0,260,0,260,"비대면
온라인 
10만5천",비대면,,,,,최은옥,042-608-6732
820,대전,대덕구,"대청호물빛영화제
(구 대청호가 그린 영화제)",ㅇ 문화예술,"연중 
시상식은
2022년 
10월 중","관내
(시상식 : 대청공원)",ㅇ혼합형,2021년도 ,0,100,0,100,400,0,"대덕문화
관광재단",재단,"대전광역시 대덕구 
대덕문화관광재단 설립 및 
운영에 관한 조례 ",,최은옥,042-608-6732
821,대전,대덕구,제25회 동춘당문화제,전통역사,4.中(예정),동춘당역사공원일대,ㅇ혼합형,1996년도,0,26,54,80,50,0,,,,,정다운,042-608-6573
822,대전,대덕구,2022년 김호연재 여성문화축제,ㅇ 전통문화,2022.9월중,소대헌호연재고택 및 동춘당공원,ㅇ혼합형,2010년도,0,30,0,30,"비대면
온라인 
500명",비대면,,,,,김현진,042-608-6574
823,대전,본청,2022 대전사이언스페스티벌,기타(과학전시체험 등),"10.21.~10.25.
개최시기 및 일정은 변동될 수 있음",대전컨벤션센터 등,온라인,2000년,0,"1,160", - ,"1,160"," 62,262명 ",,,,,,이승희,042-270-0311
824,대전,본청,농산물 대축제(우리농수산물 소비촉진 캠페인),농특산물,09.30.~10.02.,대전월드컵경기장 일원,ㅇ대면,2003,,93,,93,"20,000명",0명,㈜충청투데이,,,,김상엽,042-270-3802
825,대전,본청,2022 대전 토토즐 페스티벌,"ㅇ 문화예술
","10월 중
(예정)","원도심 일원(원동, 대흥동, 은행동 등)",ㅇ혼합형,2019년,0,1000,0,1000,"20,000명
(대면, 비대면 포함)",,,,,,이웅렬,042-270-3979
826,대전,대전마케팅공사,2022 대전국제와인페스티벌,문화예술,10.10~16,DCC,ㅇ혼합형,2012,,800,,800,"15,000명","2,000명",대전관광공사,공사,지방공기업법 제49조,,박상혁,042-250-1313
827,대전,대전마케팅공사,자운대민군화합페스티벌,주민화합,4월예정,자운대내 군부대일원,대면,2019,,50,,50,행사취소,,,,,,이기숙,042-250-1272
828,대전,대전마케팅공사,반려동물 문화축제,주민화합,9월예정,서구보라매공원,혼합형,2017,,80,,80,"1,367",,,,,,이기숙,042-250-1272
829,대전,민간추진(대덕구),계족산맨발축제,생태자연+문화예술,미정,계족산,미정,2006년,,,200,200,,,맨발축제 운영사무국,축제조직위,민간기업 자체 추진,,현지훈,042-530-1839
830,대전,유성구,제13회 유성국화전시회,문화예술,10.8.~10.30.,유림공원 등,대면 및 온라인,2010년,0,660,0,660,"350,000명",,,,,,김종현,611-2678
831, 충북 , 청주시 , 청원생명축제 , 특산물 , 9~10월 중 10일 , 오창미래지공원 , 혼합형 ,2008, - ,"2,425", - ,"2,425","500,000", - , 청원생명축제추진위원회 , 위원회 , 청주시 청원생명축제 추진위원회 설치 및 운영 조례 , - , 이동암 , 043-201-0252 
832, 충북 ,청주시,세종대왕과 초정약수축제,역사문화,10.7.~10.9.,"초정문화공원, 초정행궁 일원",혼합형,2003, - ,601, - ,601, - , - ,,,,,현은지,043-201-2042
833, 충북 ,청주시,청주읍성축제,전통역사,9월 미정,원도심 일원,혼합형,2009, - , - , - , - , - , - ,,,,,,
834, 충북 ,청주시,청남대재즈토닉페스티벌,문화예술,5월 미정,청남대,혼합형,2017, - , - , - , - , - , - ,,,,,김찬중,043-220-6413
835, 충북 ,충주시,2022 충주호수축제,기타,7.27.~7.31.,중앙탑면,대면,2002, - ,"1,000", - ,"1,000", - , - ,충주중원문화재단,재단법인,충주시 중원문화재단 설립 및 운영에 관한 조례,없음,박동일,043-850-6721
836, 충북 ,충주시,제50회 우륵문화제,문화예술,1.1.~12.31.,충주시,대면,1971, - ,500, - ,500,"30,000", - ,(사)충주예총,사단법인,없음,-,김중란,043-850-5934
837, 충북 ,제천시,제5회 겨울왕국 제천페스티벌,기타(계절축제),22.12.~23.1.(약 40일 예정),제천시내/의림지 일원,현장개최,2019, - ,"1,600", - ,"1,600", 축제취소 , 축제취소 ,제천문화재단,재단법인,제천문화재단 설립 및 운영에 관한 조례(2018년),자체사업,"이경세, 이태호","043-641-5512, 5513"
838, 충북 ,제천시,제26회 청풍호 벚꽃축제,생태자연,4월중,청풍일원,현장개최,1997, - ,60, - ,60, 미개최 , 미개최 ,제천문화재단,재단법인,제천문화재단 설립 및 운영에 관한 조례(2018년),자체사업,이경세,043-641-5512
839, 충북 ,보은군,2022 보은대추축제,특산물,10.14.~.10.31.,뱃들공원,혼합형,2007, - ,"1,100", - ,"1,100"," 914,318(2019년) ", - ,보은군축제추진위원회,위원회,보은군 축제 지원 및 운영조례(2015년),-,최정경,043-540-3393
840, 충북 ,보은군,속리산 신화여행 축제,전통역사,7말~8월초(3일간),"속리산 잔디공원, 법주사",대면,1978,2,404, - ,406, - , - ,,,,문화재청,정경아,043-540-3372
841, 충북 ,옥천군,제14회 향수옥천 포도복숭아축제,특산물,7월 중 3일간,옥천공설운동장 일원,혼합형,2007, - ,590, - ,590, - , - ,없음,없음,없음,없음,이주화,043-730-3262
842, 충북 ,옥천군,제35회 지용제,문화예술,5.12~5.15.,구읍 일원,혼합형,1988, - ,530, - ,530, - , - ,옥천문화원,법인,지방문화원진흥법,없음,이기운,043-730-3403
